From File,To File
core/adapter/syscall/include/hdf_syscall_adapter.h,core/shared/include/hdf_io_service.h
core/adapter/syscall/include/hdf_syscall_adapter.h,include/core/hdf_io_service_if.h
core/adapter/syscall/include/hdf_syscall_adapter.h,include/osal/osal_mutex.h
core/adapter/syscall/include/hdf_syscall_adapter.h,include/osal/osal_thread.h
core/adapter/syscall/include/hdf_syscall_adapter.h,include/utils/hdf_dlist.h
core/adapter/syscall/include/hdf_syscall_adapter.h,poll.h
core/adapter/syscall/src/hdf_devmgr_adapter.c,core/shared/include/hdf_io_service.h
core/adapter/syscall/src/hdf_devmgr_adapter.c,core/shared/src/hdf_io_service.c
core/adapter/syscall/src/hdf_devmgr_adapter.c,include/core/hdf_io_service_if.h
core/adapter/syscall/src/hdf_devmgr_adapter.c,include/utils/hdf_base.h
core/adapter/syscall/src/hdf_devmgr_adapter.c,include/utils/hdf_log.h
core/adapter/syscall/src/hdf_devmgr_adapter.c,include/utils/hdf_sbuf.h
core/adapter/syscall/src/hdf_devmgr_adapter.c,utils/src/hdf_sbuf.c
core/adapter/syscall/src/hdf_syscall_adapter.c,core/adapter/syscall/include/hdf_syscall_adapter.h
core/adapter/syscall/src/hdf_syscall_adapter.c,core/shared/include/hdf_io_service.h
core/adapter/syscall/src/hdf_syscall_adapter.c,include/core/hdf_io_service_if.h
core/adapter/syscall/src/hdf_syscall_adapter.c,include/core/hdf_object.h
core/adapter/syscall/src/hdf_syscall_adapter.c,include/osal/osal_mem.h
core/adapter/syscall/src/hdf_syscall_adapter.c,include/osal/osal_thread.h
core/adapter/syscall/src/hdf_syscall_adapter.c,include/osal/osal_time.h
core/adapter/syscall/src/hdf_syscall_adapter.c,include/utils/hdf_base.h
core/adapter/syscall/src/hdf_syscall_adapter.c,include/utils/hdf_dlist.h
core/adapter/syscall/src/hdf_syscall_adapter.c,include/utils/hdf_log.h
core/adapter/syscall/src/hdf_syscall_adapter.c,include/utils/hdf_sbuf.h
core/adapter/syscall/src/hdf_syscall_adapter.c,poll.h
core/adapter/syscall/src/hdf_syscall_adapter.c,securec.h
core/adapter/syscall/src/hdf_syscall_adapter.c,support/posix/src/osal_mem.c
core/adapter/syscall/src/hdf_syscall_adapter.c,support/posix/src/osal_mutex.c
